year,Otimizacaao da Combustaao,Sistemas de Recuperacaao de Calor,Recuperacaao de Vapor,Recuperacaao  de Calor em  Fornos,Novos Processos,Outras Medidas de UEE,Energia Solar Taarmica,Reciclagem,Substituicaao por GN ,Substituicaao por Biomassa,Reflorestamento ,Eaalica,Cogeracaao,Aquecedor Solar,Ar Condicionado ,Laampadas,Refrigeradores ,Motor,Iluminacaao Industrial,Iluminacaao Comercial,GTL,Changing Design of New Refineries,Reffineries Heat Integration,Reffineries Fouling Mitigation,Reffineries Advanced Control,Ethanol displacing domestic gasoline,Investing in railroad and waterways vs. roads,Bullet train Sao Paulo and Rio de Janeiro,Investing in bus rapid transit ,Investing in metro,Optimizing traffic,Investing in bike lanes,Solid residues,ResidentialWastewater,Industrial wastewater,Restauration,livestock low carbon ,agricultureno tilage
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,571517,0,0,163093,0,0,0,0,0,0,0,0,0,292838,-663824,314892,0,1674158,141424,6289,0,861928,8311766,4593756,229433376,2158754
2011,785408,142113,278738,1184544,1010798,136889,192235,558472,326545,0,0,149198,2159701,0,0,165032,0,0,0,0,0,0,0,0,0,506663,-534945,376893,0,1942498,288871,19438,41343323,1265464,8561119,5946955,237487511,5419929
2012,1628936,294743,578102,2456745,2096395,283908,398695,1158270,677255,0,0,283990,3648605,18277,0,166902,0,0,0,0,0,0,0,0,0,892872,-373212,445114,0,2111740,442444,40121,41986480,1678724,8817953,7513817,247125983,8702518
2013,2533810,458473,899238,3821466,3260942,441618,620170,1801689,1053470,0,0,448622,5179620,36816,0,167497,0,0,0,0,0,0,0,0,0,1330722,-172947,512781,0,2276711,602423,69050,42654842,2101709,9082491,9401174,273400494,11443801
2014,3503415,633916,1243347,5283814,4508796,610611,857488,2491136,1456597,0,0,672932,6676948,55618,0,169219,0,0,0,0,0,0,0,0,0,1153416,66701,548361,0,3232432,773203,107257,43343771,2534418,9354966,11609026,279885780,12942128
