year,ENE01,ENE02,ENE03,ENE04,ENE05,ENE06,ENE07,ENE08,ENE09,ENE10,ENE11,ENE12,ENE13,ENE14,ENE15,ENE16,ENE17,ENE18,ENE19,ENE20,ENE21,ENE22,ENE23,ENE24,ENE25,ENE26,ENE27,ENE28,TRA01,TRA02,TRA03,TRA04,TRA05,TRA06,TRA07,TRA08,TRA09,TRA10,PRO01,PRO02,PRO03,PRO04,PRO05,PRO06,PRO07,PRO08,AGRI01,AGRI02,AGRI03,AGRI04,AGRI05,AGRI06,AGRI07,AGRI08,USC01,USC02,USC03,USC04,USC05,USC06,USC07,USC08,USC09,USC10,USC11,USC12,USC13,USC14,USC15,RES01,RES02,RES03,RES04,RES05,RES06,RES07,RES08
2010,0.033520665,0.041397429,0.038317792,0.052413054,0.0134438,0,0.029142933,0.046692293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179978728,0.103044686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,-0.033538432,-0.041403352,-0.038335559,-0.052454511,-0.013455645,0,-0.043642018,-0.046345207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171860215,0.098396528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0.006911458,0.00696569,0.007212301,7.59E-06,-0.001434745,0,0.004310826,0.001544175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922170463,1.420909805,0.499590467,0,0,0.181462845,0.1038944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0.152001615,0.2348659,0.250886665,0.031868333,0.030993277,0.31,0.003955484,-0.017695226,0,0,0,0,0.777389252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.473858745,0.956534326,1.473858746,0.518207261,0.606911081,0.247718809,0.191798435,0.109811919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.268253143,0,0,0,0,0,0
2014,0.253413006,0.316942071,0.374271467,0.062521701,0.086780725,1.78,0.02515004,0.02476753,0,0,0,0,0.821193782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.715214895,1.113174467,1.715214895,0.603067842,0.706297621,0.288284743,0.204740853,0.117221948,0,0,0,0,0,0,0,0,1.28,0,1.07,1.28,0.64,0.45,0.34,0,0.07,0.05,0,0,0.052272,1.661067215,1.075745913,0.031472312,0.911885163,0,0.008628941,0.003695853,0.012438757,0.007392076,0
2015,0.421961609,0.543970283,0.665158497,0.424929723,0.371863234,1.36,-0.173796384,0.051763139,0,0,0,0,0.844845688,0,0,0,0,0.009346036,0.000779672,0.001344935,0.027567437,0,0.013897902,0.007685961,0.022377318,0.007770191,0,0,0,0.004194168,0.002995834,0.003328704,0,0.006242702,0,0.366067017,0,0.018057901,1.772757687,1.150519738,1.772757685,0.623299829,0.729992808,0.297956248,0.21522024,0.123221796,0,0,0,0,0,0,0,0,2.56,1.83,2.14,2.56,1.28,0.89,0.67,0.198008099,0.14,0.1,2.51,2.2,0.104544,1.738267683,1.136795072,0.090115599,1.136777509,0,0.020571408,0.004663676,0.027480975,0.021856904,0.00098403
2016,0.618276127,0.755791159,0.869313523,0.511159825,0.472765042,1.27,0.122435717,0.12433583,0,0,0,0,0.880661257,0,0,0,0,0.017977443,0.001499729,0.002587032,0.045945729,0.01,0.026733124,0.014784228,0.043043593,0.014946247,0.034652383,0.042430971,0,0.010359594,0.009287085,0.010318984,0,0.016616468,0,0.311773698,1.119078304,0.024674227,1.832806444,1.189491382,1.832806443,0.644412913,0.75471991,0.308048943,0.230414478,0.131921077,0.263535256,0.278847702,0.024177546,0.051578766,0,0.00892338,0.017234313,0.024570283,3.83,3.65,3.2,3.83,1.91,1.32,0.99,0.396016198,0.21,0.14,2.51,2.2,0.156816,1.818973052,1.201177515,0.148405915,1.362293833,0.137557711,0.032447788,0.005621039,0.03452367,0.026025266,0.00098403
2017,0.80575743,0.978519148,1.147727438,0.421252896,1.244120079,1.68,0.029094911,0.145923664,0.01,0,0,0,0.921726947,0,0,0,0,0.023122898,0.002571969,0.004436647,0.073513166,0.03,0.034384606,0.019015729,0.055363411,0.01922412,0.033208595,0.089101206,0,0.018682919,0.019195806,0.021328673,0,0.026990233,0.020663322,0.337028149,1.171210139,0.031640842,1.895636935,1.23026837,1.895636934,0.666504051,0.780592486,0.318609178,0.245709482,0.14067805,0.529453951,0.56021733,0.048355093,0.103756603,0,0.026770139,0.03291419,0.048999843,5.1,5.47,4.25,5.1,2.55,1.75,1.31,0.594024297,0.29,0.19,2.51,2.2,0.209088,1.903342445,1.26907524,0.206509453,1.584375857,0.444056026,0.044290207,0.006588658,0.03452367,0.026025266,0.001136444
2018,1.006768896,1.214520029,1.412984871,0.513233364,1.438107603,2.16,0.078595814,0.122622937,0.02,0,0,0,0.960042169,0,0,0,0,0.030173308,0.003775713,0.006513104,0.091891457,0.04,0.044868827,0.024813821,0.072244287,0.025085753,0.036034733,0.137437669,0,0.030890463,0.033068015,0.036742239,0,0.037363999,0.136106199,0.351681013,1.219748511,0.039032882,1.961055609,1.27272509,1.961055608,0.689505191,0.807530832,0.329604421,0.25888375,0.148220821,0.797777642,0.844131695,0.072532639,0.156540469,0,0.053540278,0.047184185,0.072615923,6.36,7.29,5.3,6.37,3.18,2.17,1.63,0.792032396,0.36,0.24,2.51,2.2,0.26136,1.991542208,1.34068018,0.264564874,1.765580733,0.502626206,0.056126865,0.007568396,0.037015872,-0.134057845,0.002153029
2019,1.240744323,1.485741297,1.726657753,0.437036036,1.438220128,2.37,5.004148208,0.60286349,0.02,0,0,0,1.004401304,0,0,0,0,0.036224946,0.005439575,0.009383267,0.091891457,0.06,0.053867836,0.029790546,0.086733791,0.030117018,0.038423744,0.188126465,0,0.046038916,0.051275289,0.056972544,0,0.129436524,0.251553956,0.353841315,1.275572701,0.047144184,2.028822092,1.316705539,2.028822094,0.713331819,0.83543597,0.340994273,0.272866608,0.156226541,1.06852808,1.130613809,0.096710186,0.209937403,0,0.096669947,0.060172484,0.095469816,7.62,9.1,6.35,7.64,3.82,2.58,1.94,0.990040496,0.43,0.29,2.51,2.2,0.209088,2.083746241,1.41619475,0.322709069,1.9844155,0.561833062,0.067985617,0.008562136,0.037015872,0.032119613,0.002153029
