cost,measure
62.6,ENE01
108.1,ENE02
151,ENE03
101.1,ENE04
54.4,ENE05
-60.4,ENE06
-12.7,ENE07
111.3,ENE08
509.4,ENE09
835.9,ENE10
-13.3,ENE11
-64.3,ENE12
78.6,ENE13
-15.2,ENE14
77.5,ENE15
79.9,ENE16
164.4,ENE17
-381.4,ENE18
-284.3,ENE19
-253.1,ENE20
-297.7,ENE21
-245.1,ENE22
-486.7,ENE23
-470.6,ENE24
-368.4,ENE25
-514.9,ENE26
-145.4,ENE27
-195.2,ENE28
-3385.8,TRA01
-19.9,TRA02
-18.6,TRA03
24.4,TRA04
1839.8,TRA05
-2855.2,TRA06
323.4,TRA07
382.7,TRA08
-1461.9,TRA09
-385,TRA10
-54.7,PRO01
-22.18,PRO02
-88.5,PRO03
-9.77,PRO04
-0.37,PRO05
-238.77,PRO06
-5.62,PRO07
-56.18,PRO08
110.1,AGRI01
76.4,AGRI02
91.2,AGRI03
338.7,AGRI04
149.6,AGRI05
-83.5,AGRI06
721.9,AGRI07
158.8,AGRI08
2,USC01
4.1,USC02
1.5,USC03
11.2,USC04
5.5,USC05
1.1,USC06
1,USC07
93.4,USC08
59.2,USC09
61.3,USC10
8,USC11
10,USC12
38.2,USC13
6.8,USC14
13.9,USC15
14.8,RES01
3.2,RES02
13.9,RES03
2.6,RES04
176.1,RES05
35.8,RES06
218.4,RES07
167.9,RES08
