cost,measure
-91.9395729,Laampadas
-62.42483797,Recuperacaao de Vapor
-59.60379571,Sistemas de Recuperacaao de Calor
-34.81269648,Energia Solar Taarmica
-36.27743787,Iluminacaao Industrial
-28.44027013,Otimizacaao da Combustaao
-23.67113968,Reciclagem
-27.35668153,Iluminacaao Comercial
-12.85673655,Recuperacaao  de Calor em  Fornos
-7.542570334,Outras Medidas de UEE
-0.204761123,agricultureno tilage
-4.45475E-06,Substituicaao por GN 
0.722929432,livestock low carbon 
0.266290723,Optimizing traffic
-43.22034467,Cogeracaao
0.662203159,GTL
2.169189186,Solid residues
2.627724605,Investing in bike lanes
4.300405736,Substituicaao por Biomassa
1.876905501,Ethanol displacing domestic gasoline
7.887002745,ResidentialWastewater
-5.859326872,Motor
10.91950458,Reffineries Heat Integration
16.4102137,Changing Design of New Refineries
23.38358602,Investing in railroad and waterways vs. roads
5.239084749,Refrigeradores 
45.84123512,Reffineries Fouling Mitigation
25.88226448,Novos Processos
64.03020343,Eaalica
42.06449726,Investing in bus rapid transit 
39.01508434,Restauration 
79.15608259,Reffineries Advanced Control
80.40742864,Industrial wastewater
95.72719722,Investing in metro
83.928899,Aquecedor Solar
376.3559095,Bullet train Sao Paulo and Rio de Janeiro
419.1489778,Ar Condicionado 
